	Match	Goals score	Avg goals score	Goals taken	Avg goals taken
Manchester United 	14	30	2.142857143	10	0.714285714
Swansea City 	14	19	1.357142857	15	1.071428571
West Ham United 	15	21	1.4	15	1
Tottenham Hotspur 	15	25	1.666666667	19	1.266666667
West Bromwich Albion 	14	17	1.214285714	19	1.357142857
Sunderland AFC 	14	12	0.857142857	18	1.285714286
Stoke City 	14	19	1.357142857	17	1.214285714
Aston Villa 	14	11	0.785714286	18	1.285714286
Queens Park Rangers 	14	19	1.357142857	18	1.285714286
Hull City 	14	15	1.071428571	17	1.214285714
Leicester City 	12	13	1.083333333	17	1.416666667
Everton FC 	13	19	1.461538462	18	1.384615385
Arsenal FC 	13	30	2.307692308	11	0.846153846
Crystal Palace 	13	14	1.076923077	19	1.461538462
Liverpool FC 	15	24	1.6	14	0.933333333
Southampton FC 	15	25	1.666666667	10	0.666666667
Newcastle United 	14	19	1.357142857	18	1.285714286
Manchester City 	14	28	2	12	0.857142857
Burnley FC 	14	13	0.928571429	19	1.357142857
Chelsea FC 	13	27	2.076923077	5	0.384615385
Total	278	400	28.76831502	309	22.28882784
Avg	13.9	20	1.438848921	15.45	1.111510791
			1.438848921		1.111510791
